stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,12.26,126.68,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,3.21,0,0,0,0,0,0,0,0,1.07,4.28,1.07,5.35,1.07,0,1.07,42.79,33.16,0,2.14,2.14,0,0,3.21,0,0,0,0,0
21Day,2.68,0,0,8.03,6.69,2.68,0,0,0,0,0,1.34,1.34,2.68,2.68,1.34,9.37,0,0,0,13.39,10.71,1.34,0,0,2.68,0,1.34,1.34,0,0,0,2.68
3Month,0,1.28,0,5.44,0,0,0.96,0.64,0,3.52,1.92,0.32,2.56,0.64,1.6,1.28,2.56,0,1.92,0.96,0.64,0,0,0.32,0,0.32,11.84,0.32,0,0.32,1.28,3.52,0.96
22Month,0,0.55,0.55,1.09,0,0,1.09,0,0.55,6.56,0,0.55,2.19,0.55,0.55,0.55,0.55,0,1.09,0,0,0,0,0,0,0,0.55,0,0,0,0,0,1.09
