stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,16.35,4.09,8.17,0,0,4.09,12.26,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,62.05,0,4.28,0,0,8.56,1.07,0,0,0,42.79,0,1.07,3.21,0,0
21Day,2.68,1.34,0,18.74,2.68,0,0,0,0,0,0,1.34,1.34,0,8.03,0,49.53,0,1.34,12.05,4.02,0,0,0,145.9,5.35,0,1.34,8.03,42.83
3Month,0,0.32,0.32,5.12,0,0.32,0.64,0.32,1.28,3.2,0,0,1.28,0.32,1.28,0,9.6,7.68,0,0.64,0,0.32,0,0,0.64,0,2.24,0.32,0,0
22Month,0,0.55,0,0.55,0,0,0,0,0.55,9.84,1.09,0,0,0,0,0,6.01,1.64,0,0.55,0,0,0.55,0.55,0.55,0,3.28,1.09,0,0
