stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24.52,0,49.04,0,0,0,0,0,0,0,0,0,4.09,8.17,0,4.09,0,0,0,32.69,0,0,0,0,0,0,0,0
72hpf,4.28,0,85.58,4.28,1.07,0,0,0,0,0,0,0,1.07,7.49,0,3.21,0,0,4.28,4.28,5.35,0,0,1.07,0,0,0,0
21Day,17.4,1.34,18.74,2.68,2.68,0,0,1.34,0,0,0,0,0,1.34,0,8.03,0,0,1.34,1.34,4.02,1.34,1.34,0,1.34,0,0,4.02
3Month,0,0,17.92,0,0,0.96,0.64,0,3.84,0.96,0.64,0.64,0,4.48,0.32,0.64,0.32,0.32,0.32,0.64,0,0,8.32,0,0,0.32,2.24,1.28
22Month,0,0,6.01,0,0,0.55,0,1.64,7.65,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0,0,0
