stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,16.35,4.09,0,0,20.43,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,1.07,0,1.07,9.63,3.21,0,0,0,0,1.07,0,0
21Day,0,0,0,6.69,2.68,0,0,0,0,1.34,0,0,1.34,0,1.34,0,1.34,4.02,8.03,0,4.02,0,0,0,0,0
3Month,0,0.32,0,7.04,0,0.64,0,7.68,0,0,1.92,0.32,0.64,0.96,1.28,0,0,0,13.12,0,0.32,0.32,3.52,0,1.28,0
22Month,0.55,1.09,0.55,5.47,0,0,1.09,68.88,1.09,0,1.64,0,0,1.09,2.19,0.55,0,0,4.37,1.09,0,0,2.73,0,0,1.09
