stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,4.09,44.95,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,1.07,0,0,0,0,0,0,0,0,2.14,6.42,3.21,0,3.21,0,0,0,47.07,14.98,0,0,3.21,1.07,0,6.42,2.14,0,0,0
21Day,2.68,0,0,4.02,4.02,0,1.34,0,0,0,0,0,0,4.02,5.35,6.69,1.34,6.69,0,1.34,0,64.25,5.35,1.34,0,1.34,0,1.34,1.34,17.4,0,0,0
3Month,0.32,0.32,0.96,6.4,0,0.32,0,0.32,4.8,0,14.08,0.64,0.32,15.68,15.04,1.6,3.84,3.52,0.32,0,0.96,3.2,0,2.88,0.64,0,0.96,26.24,0.32,0,0.64,17.28,2.56
22Month,0.55,1.64,1.09,29.52,0,1.09,0,1.09,6.56,2.73,53.57,1.64,1.09,32.8,3.28,1.09,3.83,4.37,1.09,0,1.09,2.73,0,4.92,0,0,0,24.05,0,2.73,1.09,0,1.64
