stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.95,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,6.42,0,2.14,6.42,0,0,0,0,0,0,0,0,0,0,0,19.26,6.42,0,0,0,0,0,4.28,5.35,2.14,0,0,7.49,0,0,2.14,0,0,0
21Day,0,18.74,12.05,48.19,4.02,1.34,0,0,0,1.34,0,0,0,0,4.02,22.76,18.74,12.05,10.71,14.72,0,0,5.35,2.68,2.68,1.34,0,0,9.37,4.02,1.34,6.69,0,0,1.34
3Month,0,94.39,15.36,136.94,0.96,0,0.96,8.32,0.64,71.67,6.4,0,31.99,6.08,0.64,378.18,87.67,19.2,53.43,16,1.28,0,10.88,62.07,2.56,0.32,7.04,0.64,2.56,4.48,8.96,0.64,13.44,18.24,3.84
22Month,1.09,209.92,28.43,87.46,1.09,0,0.55,5.47,0,56.31,7.65,2.73,72.16,1.64,3.28,409.44,30.07,8.2,53.03,9.84,0,2.19,7.11,3.83,2.73,0,6.01,1.64,1.09,0,2.19,0,1.64,0,1.64
