stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,2.14,0,0,0,0,0,11.77,1.07,5.35,1.07,0,31.02,9.63,1.07,6.42,0,0,1.07,0,1.07,0,0,0
21Day,6.69,0,0,6.69,0,1.34,0,2.68,0,0,1.34,0,5.35,1.34,0,4.02,6.69,0,1.34,2.68,0,0,1.34,0,0,0,1.34
3Month,0,0,0.32,1.6,0,0,0.96,6.72,0.96,1.92,0,0,0.64,0.32,0.32,0,0,0,0,0.96,0.64,0,0,0,0.96,0.96,0
22Month,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
