stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,4.09,0,4.09,0,0,0,0,4.09,0,8.17,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,0,1.07,0,0,0,0,2.14,0,0,1.07,1.07,3.21,0,0,0,9.63,6.42,0,0,0,2.14,0,0,5.35,0,0,0,0,0
21Day,0,0,0,1.34,1.34,2.68,0,0,0,10.71,0,0,1.34,4.02,17.4,0,1.34,2.68,5.35,5.35,0,2.68,0,8.03,2.68,0,2.68,0,1.34,1.34,1.34,2.68,0,2.68,1.34,0,61.57
3Month,0,1.92,0,8.64,0,0,0,0.64,1.6,113.9,0.64,0,9.6,135.34,2.56,0.64,1.28,4.16,12.16,4.8,0.32,2.56,1.6,3.52,0,0.64,6.08,0,0.64,0.96,3.84,5.44,0,0,1.28,0.96,104.3
22Month,0.55,5.47,0.55,4.92,0,0,6.56,0,2.73,439.51,2.19,0,20.23,55.21,2.19,1.09,0.55,2.73,21.32,7.65,0,0.55,0,2.73,0,1.64,6.01,1.64,0,0.55,1.64,28.43,0.55,0,0,0,41.55
