stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,143.02,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,4.09,163.46,0,0,0,0,4.09,0
72hpf,46,0,0,0,4.28,0,1.07,0,0,0,0,0,0,1.07,0,10.7,0,0,4.28,2.14,4.28,0,0,0,0,0
21Day,87,0,1.34,0,8.03,0,0,0,0,0,0,0,0,0,0,12.05,0,0,0,1.34,4.02,2.68,0,2.68,0,0
3Month,0.32,0,0,0.96,0,0,0,0.32,0,1.92,0.32,0.32,0.32,1.28,0.32,0,0,0.32,0,0,0,0,0.64,0,0.32,0.32
22Month,0,0.55,0.55,0.55,0,0.55,0,0,1.64,6.56,0.55,0.55,0,0,0.55,0,0.55,0,0,0,0,0.55,0.55,0,0,0
