stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,T_cell
21Day,1.34,2.68,0,0,0,5.35,1.34,0
3Month,0,2.24,3.2,0.32,0.96,0,0,0.32
22Month,0,0,1.64,0,1.64,0,0,0
