stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,7.49,0,0,0,1.07,0,0,1.07,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,17.4,2.68,0,1.34,0,0,0,0,0,0,0
3Month,0,0.64,0,0.64,0.32,29.44,0.64,0.96,10.56,0.32,0.32,0,0,0,0.32,0,0.32,0.32,0.32
22Month,0,0.55,0,0,0.55,90.2,1.09,0,24.05,0.55,7.11,0,0,0,0,0,0,0,0
