stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,4.02,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0
3Month,41.27,0.32,0.96,2.88,2.56,1.92,0.32,37.75,0.64,0.32,0,0,0.32,0.32,0.32,0.32,0.32
22Month,3.28,0,0.55,7.65,1.09,0,0,2.73,1.09,1.09,0.55,0.55,0,0,0,0,0
