stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0.32,0.32,3.2,0.64,3.52,10.56,1.28,4.48,0.32,0.64,0.64,1.28,0.64,1.28,0,0,0.64,0.32,1.6,0.32,13.12
