stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,1.34,2.68,1.34,0,0,0,0,0,1.34,0,0,1.34,0,4.02,1.34,1.34,0,0,0,1.34,0,0,0
3Month,0,2.24,0,0.64,0,0,1.6,0,0,2.56,0,0.32,0.96,5.44,0.32,0.32,0,0.32,0,0,2.56,2.88,0.32
22Month,0,3.28,0,0,0.55,1.09,2.73,1.64,0,1.09,0,0,1.64,42.64,0,0,0,1.64,0,0,0,0,0.55
