stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,12.26,0,20.43,0,0,0,0,0,4.09,547.58,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,6.42,0,3.21,0,0,10.7,0,0,5.35,4.28,0,0,0,0,0,3.21,3.21,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,10.71,1.34,0,4.02,0,5.35,1.34,8.03,37.48,0,0,5.35,10.71,0,0,0,0,0,5.35,0,0,1.34,1.34,4.02,0,0,0,0,0,0,0,12.05
3Month,0.32,2.56,0.32,16.32,0,0.64,5.76,2.88,111.66,17.92,519.6,1.92,8.64,1.92,6.4,34.55,4.8,1.6,0,2.56,2.24,0.64,0,0.64,0.64,0,2.56,0.96,4.16,0,0.32,0,3.2,4.8,95.98
22Month,0,3.28,0.55,4.92,0,0,2.19,0,63.96,16.95,80.36,3.28,0.55,0.55,2.19,78.72,2.19,0,1.64,0,0,0.55,0,0,0,0,0.55,0,2.73,1.09,0,0.55,0.55,0,49.2
