stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,4.09,0,0,0,4.09,0,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,5.35,10.7,0,0,0,0,0,0,0,0,0,10.7,7.49,1.07,0,0,0,0,3.21,9.63,1.07,0,0,0,0,3.21,1.07,0,0,0,0
21Day,0,5.35,6.69,72.28,5.35,0,4.02,5.35,0,0,0,0,2.68,5.35,8.03,5.35,2.68,4.02,0,0,0,1.34,4.02,6.69,0,0,4.02,0,0,0,2.68,0,0,0
3Month,0,0.96,7.36,41.59,0.64,0.96,0.32,48.31,0.96,0,13.12,1.92,0.32,40.31,2.56,3.84,1.6,2.24,0.96,0.32,0.32,8,2.24,0.32,4.48,0.32,1.92,12.8,0.32,0,0,0.32,3.52,1.92
22Month,0,1.09,17.49,59.59,1.64,0.55,0,86.92,2.19,1.64,56.31,2.19,0,112.61,1.09,2.19,3.83,3.28,0.55,1.09,1.64,1.09,4.92,0.55,10.93,1.09,0.55,23.51,1.09,0,0,0,0,1.09
