stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Pancreatic_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,1.34,0,0,1.34,0,0,0,22.76,0,1.34,0,0,0,0,1.34,1.34,0,0,2.68
3Month,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0
22Month,0.55,1.09,1.09,4.37,0.55,0.55,1.09,493.08,2.19,2.73,0.55,3.28,7.11,1.09,0,0,0.55,0.55,0
