stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,4.09,4.09,0,0,0,0,0,0,0,0,0,20.43,12.26,0,0,8.17,134.85,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,2.14,0,0,0,0,8.56,8.56,0,0,1.07,0,2.14,1.07,0,0,0,0
21Day,4.02,0,2.68,1.34,1.34,2.68,0,0,0,0,0,0,1.34,1.34,0,5.35,6.69,0,1.34,6.69,2.68,0,0,1.34,1.34,12.05,0,1.34,0,0,0
3Month,0,0.64,13.44,0,0,0,0,0.64,1.6,0,9.28,2.88,0.32,1.92,3.52,12.48,2.24,0.64,0,1.6,0,0.64,0,0.32,1.28,180.13,0.32,0,1.28,4.8,1.28
22Month,0,0.55,2.73,0,0,0,0.55,2.19,3.83,1.09,19.68,0.55,1.09,5.47,0,7.65,1.64,0,0,0.55,0,1.64,1.09,0,0,199.53,0.55,0,0,0,0
