stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,0,0,3.21,1.07,0,0
21Day,0,1.34,1.34,1.34,0,0,0,0,9.37,0,0,0
3Month,0,0.32,0,0,0,0.32,0.32,0.64,8.64,0,0.32,0.32
22Month,0.55,0.55,0,0,0.55,4.92,0,0,0,0,0,0.55
