stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,8.17,16.35,53.12,0,0,0,8.17,24.52,0,0,0,0,0,0,0,0
72hpf,1.07,6.42,0,0,0,0,0,0,0,0,7.49,3.21,19.26,22.47,0,0,0,180.79,6.42,2.14,14.98,0,0,2.14,0,3.21,0
21Day,0,6.69,6.69,1.34,0,0,0,2.68,2.68,1.34,1.34,1.34,1.34,5.35,0,0,1.34,360.07,4.02,0,1.34,95.04,1.34,0,1.34,0,4.02
3Month,0,1.6,0,0,1.6,0.32,0.64,0,0,0.64,0,0.96,0.32,0.96,0.96,0,0.96,1.28,0.32,1.6,0,0,0,0,0,0,0.32
22Month,2.19,1.64,0,0,0,0,5.47,0.55,0,0,0,0.55,0,2.19,0,0.55,0.55,2.19,0,0,0,0,0,0,0,0,0
