stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,77.64,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,1.07,0,0,1.07,0,0,0,0,0,1.07,10.7,1.07,0,0,6.42,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0
21Day,0,0,0,0,0,0,4.02,1.34,4.02,5.35,0,0,1.34,9.37,0,0,0,5.35,1.34,0,0,0,1.34,0,0,0,10.71,14.72,1.34,0,0,0
3Month,0.64,1.92,0,0,0.32,0.64,47.67,4.48,71.35,0.96,0.96,0.32,0.32,34.55,0.96,0.64,0.64,0,0,0.96,0.64,0,0.64,0.32,0.64,0,0.32,0,0.32,0.96,1.28,0.32
22Month,0,1.64,0.55,0,0.55,0,117.53,9.29,43.73,3.28,1.64,0,0,56.31,1.09,0,0,0,0,0,0,0.55,0,0,0,1.64,26.79,0,0.55,0,0,0.55
