stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,0,44.95,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,1.07,0,0,0,0,0,1.07,5.35,0,2.14,0,0,16.05,10.7,0,2.14,0,0,1.07,1.07,0,0
21Day,1.34,0,0,5.35,1.34,1.34,0,0,0,0,0,0,2.68,0,8.03,1.34,1.34,9.37,2.68,0,0,2.68,0,0,0,0,1.34
3Month,0,0.32,0,0.96,0,0,0,2.56,0.32,0.32,0.32,0.32,0,0,0,0.32,0,0,0,0.32,0,0,0.32,0,0,1.28,0.64
22Month,0,0.55,0.55,0.55,0,0,0.55,5.47,0,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0.55
