stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,2.14,0,0,1.07,0,6.42,22.47,0,4.28,0,0,0,0
21Day,1.34,0,1.34,2.68,0,0,0,24.09,0,1.34,5.35,1.34,1.34,0,0
3Month,0,0,0,0,0,0,0,0.32,0,0,0,0,0,1.6,0.32
22Month,0,0,0,0,0.55,0,0.55,0,0,0,0,0,0,0,0
