stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,3.21,0,0,0,0,0,0,0,0,0,3.21,0,3.21,0,0,2.14,5.35,0,0,6.42,0,0,0,0,0,0,0
21Day,1.34,1.34,0,5.35,0,0,0,0,0,0,0,1.34,0,0,0,13.39,0,0,5.35,1.34,0,0,10.71,1.34,0,0,1.34,0,0,0
3Month,0,1.92,0,2.88,0,0.32,0.32,0.64,0,4.16,0.64,0.32,2.88,2.56,0.64,3.84,0,0.32,0.32,0,0.32,0.64,0,0.32,4.16,0,0.32,1.6,1.28,0.64
22Month,0,3.83,1.09,0.55,0.55,0,0,0.55,1.64,19.68,1.09,0.55,0.55,0,0,2.19,0.55,0,0.55,0,0.55,0,0,0,0,1.64,0,0,0,0
