stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,1.28,0.32,3.2,0.64,0.32,0.32,0.96,0,0,0.32,0,0,0,0,0.32,0.32
22Month,0,2.19,22.41,1.09,1.09,0,0,2.19,1.09,0,1.64,0.55,0,0.55,0.55,0
