stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,8.17,0,0,0,4.09,0,57.21,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,13.91,1.07,0,2.14,0,0,0,3.21,5.35,4.28,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,2.68,0,53.54,20.08,2.68,0,0,0,0,0,0,1.34,0,0,41.49,4.02,2.68,1.34,9.37,0,0,0,6.69,18.74,8.03,2.68,1.34,0,4.02,2.68,0,0,0,1.34,0,0,0,1.34
3Month,0.32,4.8,37.11,46.71,0,3.2,1.6,0.32,42.23,11.2,0,50.87,17.92,1.28,1077.27,7.04,9.28,12.48,24.32,3.84,0.96,6.4,104.94,1.28,0,13.12,1.28,0,0.64,9.28,0.32,15.04,0.64,0,0.32,35.51,8.32,12.16
22Month,0,4.37,31.71,19.13,0,1.09,0.55,0,58.49,10.39,6.01,106.05,1.64,1.64,1262.23,0.55,1.09,8.75,10.39,0.55,6.01,3.28,8.2,0.55,0,9.84,2.19,1.64,0,2.19,0,14.76,1.09,0,0,8.2,0,3.83
