stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1319.91,4.09,4.09,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,8.17,61.3,0,0,0,0,0,0,0,0,0,0
72hpf,610.85,1.07,2.14,3.21,0,0,0,0,0,0,1.07,4.28,0,5.35,0,0,0,23.54,17.12,0,3.21,0,0,0,0,1.07,1.07,0,0
21Day,607.69,0,6.69,13.39,0,1.34,0,4.02,0,1.34,1.34,2.68,1.34,16.06,1.34,1.34,0,17.4,5.35,1.34,1.34,4.02,0,1.34,2.68,4.02,0,0,0
3Month,3.2,0,1.92,0,0.32,0,0,2.24,0,0,1.28,0.96,0.32,1.28,0,0.32,0.32,0,0.32,0.96,0,0,10.56,0,0,0,0,0.32,1.28
22Month,0,0,0.55,0,0.55,0,1.09,7.11,1.09,0,0.55,0,2.73,0.55,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0
