stage,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,1.07,0,0,0,0
3Month,0.32,0.64,0.64,0,0,20.8,0.96,24
