stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,14.72,0,0,1.34,0,0,1.34,0,0,0,1.34,10.71,1.34,1.34,0,0,0,0,0,0,1.34,0,1.34,1.34,1.34,0,0,0,0,0
3Month,1.28,0.96,2.56,45.43,1.6,10.56,14.72,0.32,0,107.82,4.8,0.96,47.67,5.12,20.16,15.04,10.56,3.2,0,1.92,3.84,0.32,0,4.8,0,0,4.48,7.04,0.96,0.64,2.24,0.32,3.2
22Month,0,0.55,0,10.39,0.55,3.28,15.85,0.55,0,38.81,3.28,1.09,30.07,1.09,2.19,19.68,7.11,0.55,1.09,0,1.09,0,0,0,0.55,0,0,2.19,0.55,0,0,0,2.73
