stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,1.07,5.35,1.07,4.28,0,0,7.49,8.56,0,1.07,0,1.07,0,0,0
21Day,0,5.35,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0,1.34,1.34,2.68,0,1.34,0,0,0,0,0
3Month,0,7.04,0.32,0,0.32,0.64,8.96,0.96,0.32,3.84,0.64,2.88,1.6,2.56,0.32,0,1.92,0.32,0.96,0.32,0.64,0.32,0.64,0.64,4.16
22Month,0,1.09,0,0,0,1.09,3.83,0.55,0,2.19,0,0.55,0,1.09,0,0,0,0,0,0,0,0,0,0,0.55
