stage,Cardiomyocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,4.09,12.26,4.09,0,0,0,0,0
72hpf,0,0,0,1.07,0,21.4,3.21,0,1.07,0,0,2.14
21Day,2.68,0,0,1.34,0,14.72,1.34,1.34,0,0,1.34,0
3Month,0,1.28,0.32,0.32,0,0.96,0,0.96,0,0.32,0,0
22Month,0,0.55,0,0,0,1.09,0,0,0,0,0,0
