stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Oligodendrocyte,Retinal_cell,T_cell
3Month,0,0.32,0,0,0,0,7.36,0,0,0,0.96
22Month,1.09,12.03,0.55,0.55,0.55,1.64,146.5,1.64,1.09,0.55,2.19
