stage,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,4.09,0,0,0,0,0,0,0,4.09,8.17,0,0,8.17,40.86,0,0
72hpf,4.28,1.07,0,0,0,0,0,3.21,2.14,0,1.07,0,1.07,2.14,1.07,0
21Day,18.74,0,0,0,0,4.02,0,0,2.68,4.02,6.69,0,0,1.34,1.34,4.02
3Month,1.28,0,1.28,0.32,0,0,0.64,0,0.32,0.64,0,0.32,0,0,0,0.96
22Month,1.09,0,0,0,4.37,0,0,0,0,0.55,0,0,0,0,0,1.09
