stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,1.34,0,1.34,4.02,0,0,0,0,0
3Month,0.32,1.28,0,0.32,1.6,0.32,0.32,0.96,0.32,0.32,0,0.32,0,0.32,0,0.32,11.2
22Month,0,0,0,0.55,0.55,0,0.55,0,0,0,0,0,0,0,0.55,1.09,0.55
