stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,1.07,3.21,0,0,1.07,0,2.14,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,1.34,1.34,0,2.68,1.34,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0
3Month,0.32,0,2.56,0.32,1.28,0.32,0,49.59,0.64,0,10.88,0,0.32,0.64,2.24,0,1.28,0,0,0,0.32,0.32,7.04,0,0,0,1.92,0.32
22Month,0,2.19,10.39,2.73,2.73,2.73,3.83,230.14,0,0,78.72,0.55,0,0.55,2.19,6.56,0.55,0,0,2.73,0,0.55,4.37,0,0.55,0.55,0,1.09
