stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,1.07,5.35,1.07,0,0,1.07,1.07,2.14,2.14,0,0,0,0
21Day,1.34,0,16.06,1.34,0,0,0,0,6.69,0,0,0,12.05,2.68,0,0,2.68,1.34,0,2.68,2.68,0,0,1.34
3Month,0.32,0.64,11.2,0,2.24,0.32,0.32,0.32,0,0.64,0.32,1.92,9.92,1.6,0.32,1.6,0.96,0,1.6,0,0.32,0.32,1.28,2.88
22Month,0,0,1.64,0,0,0,0.55,0,0,0,0,0.55,5.47,0,0,0,0,0,0.55,0,0,0,0,0.55
