stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,1.07,1.07,0,0,0,0,0,0,0,1.07,0,9.63,0,0,1.07,0,3.21,0,5.35,0,2.14,0,0,0,0,0,0,0,1.07,0,0,0
21Day,6.69,1.34,0,0,0,0,5.35,0,0,0,4.02,0,4.02,5.35,0,0,0,8.03,0,0,0,1.34,6.69,1.34,0,0,0,2.68,2.68,0,1.34,1.34,0,0,0
3Month,0.64,0.64,1.6,8,0,0.96,0.32,0.96,0.96,0,267.8,1.28,0.64,104.62,8,2.24,1.92,7.04,1.28,0,0.64,8.32,0.32,0,0,1.28,0,0,5.12,20.48,0,0,3.52,3.52,3.2
22Month,0,1.64,1.09,2.19,0,1.09,0,2.73,2.73,9.84,235.06,1.64,0.55,92.38,0.55,0.55,2.19,4.37,0,7.11,0,0,0.55,0,1.09,0,0.55,0.55,0,3.28,0,0,0.55,0,1.09
