stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,6.42,4.28,0,0,0,0,0,0,0,212.89,1.07,3.21,0,9.63,2.14,1.07,0,0,1.07,0,0
21Day,0,0,21.42,0,0,0,0,0,1.34,0,1.34,8.03,0,2.68,0,1.34,1.34,0,0,0,0,0,0
3Month,0.32,0.32,76.79,0,0.32,0.32,0.64,1.92,0,5.12,0.64,2.24,1.92,1.28,0.32,0.64,0,0,0.32,0.96,0,0.32,0.64
22Month,0,0,2.19,0,0,0,0,1.64,0,1.09,0,0,0.55,0,0,0,0,0,0.55,0,0,0,0
