stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0
3Month,0,0.32,0.32,0.96,0.32,0.96,0,2.24,0,0.32,0.32,0.64,0.32,0,0,0.96,5.76,0,0,0.96,0,0.64
22Month,0,0,0,0,0,8.75,0.55,10.39,1.09,3.28,0,1.64,2.19,1.09,0.55,0.55,0.55,0.55,0.55,1.64,0.55,0
