stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,8.56,2.14,0,2.14,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,1.34,1.34,0,1.34,0,4.02,0,5.35,0,0,1.34,1.34,0,1.34,1.34,0,0
3Month,0,1.92,0.64,0.32,2.24,0.32,0,0.64,0.96,0,0.32,6.08,0.32,2.24,0,1.28,0.32,0.32,8.32,0,0,0,6.72
22Month,0,1.09,0,0,6.01,0.55,0.55,0,0,0,0.55,1.64,0,1.09,0,0.55,0,0,0,0.55,0,1.09,0
