stage,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Smooth_muscle_cell,Spermatocyte
3Month,0,0,0,0,0.32,0,0.32
22Month,0.55,0.55,4.92,0.55,0,1.09,0
