stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,8.17,8.17,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,2.14,3.21,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0,0.32,0.64,8,0,0.32,0,1.28,3.2,0,0,9.6,3.52,0.96,9.6,0.32,1.92,2.56,4.8,1.6,0,0.32,0.32,0.96,0,0.64,0,0.32,0,0.32,3.84,0,0.96,0.64,2.24
22Month,0.55,1.09,1.64,4.92,0,0,0.55,1.64,2.73,1.09,0,53.03,5.47,0.55,27.33,0,1.64,4.92,4.92,0,2.73,0.55,0,1.09,0,0,0.55,0.55,0.55,0,0.55,1.09,0,0,0
