stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,1.07,0,1.07,0,0,3.21,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,2.68,0,0,0,0,4.02,1.34,0,0,0
3Month,0,0,0,0.32,0,0.32,0,0,0.64,0.32,0,0.32,0.32,0,0,0,0,0,0,0.32,0.32
22Month,0,2.19,0.55,3.83,0,0.55,2.19,3.28,13.67,3.28,1.09,2.73,0,1.09,0,0.55,0,0,0.55,0,2.73
