stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,8.56,1.07,0,0,0,0,0,0,0,0,2.14,1.07,1.07,0,0,0,142.28,11.77,1.07,1.07,1.07,1.07,0,0,0,0,0,0,0
21Day,0,2.68,6.69,0,1.34,0,0,0,0,4.02,0,0,0,2.68,0,0,0,1.34,104.41,6.69,8.03,0,2.68,4.02,0,2.68,0,1.34,0,0,1.34
3Month,0,2.56,3.84,0,0,0.64,0.64,4.16,3.84,1.28,0.32,0.96,0.96,3.52,2.88,0.64,0,0.64,7.68,0.32,4.8,0,0,0.32,13.12,1.92,0,0,1.28,40.63,11.84
22Month,1.09,1.64,1.64,0,0.55,1.09,3.83,9.29,1.09,1.09,0.55,0.55,0.55,14.21,4.92,0.55,1.09,2.19,5.47,0,10.39,0.55,0.55,0,5.47,4.37,0.55,0,1.09,0,14.21
