stage,Endothelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,3.21,3.21,0,0,0,0
3Month,0.32,0.32,0,0.32,0,0.32,0,0.32,0,0,0,0,0.64,0.64
22Month,0,0.55,0.55,3.83,0.55,0,2.19,0.55,0,0,0.55,0.55,0,0
