stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,0,0,2.14,1.07,0,2.14,0,0,0,0,0,0
21Day,4.02,0,0,24.09,0,2.68,0,2.68,1.34,0,0,0,1.34,0,0,1.34,0,13.39,0,4.02,0,0,10.71,0,9.37,2.68,0,2.68,1.34,1.34,0,0,0,1.34
3Month,0,5.44,0.32,390.98,0,0,0.64,0,1.6,9.28,0.32,0,26.56,9.6,0.32,14.72,26.24,15.68,6.08,4.8,2.24,3.84,4.48,0.96,18.24,0,0.96,0.64,3.52,25.28,0.32,4.8,9.92,12.8
22Month,0.55,3.28,0,282.62,0.55,0,1.09,0,0,8.75,4.37,0,83.64,0.55,3.83,6.01,0.55,0.55,8.2,6.56,0,4.92,1.64,0,3.28,1.09,1.09,0.55,0,25.15,0.55,0,0,1.09
