stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,8.17,4.09,0,49.04,0,0,0,253.36,0,0,0,0
72hpf,2.14,5.35,1.07,1.07,6.42,2.14,0,0,2.14,4.28,2.14,160.47,0,1.07,53.49,24.61,11.77,7.49,1.07,0
21Day,1.34,1.34,6.69,0,1.34,1.34,1.34,8.03,0,5.35,0,109.76,1.34,0,26.77,14.72,1.34,0,0,1.34
22Month,0,0,0,0,0,0,0.55,0,0,0,0,6.01,0,0,0,0,0,0,0,0
