stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,4.09,57.21,0,0,0,69.47,4.09,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,1.07,0,0,1.07,1.07,0,0,0
3Month,0,0,0.96,0,0,0,0.32,0,3.52,1.6,0.96,0.32,0.32,0.32,0.64,0,0,0,0,0,4.48,0,1.28,0.32
22Month,0,0.55,0.55,0.55,0.55,1.64,2.73,0.55,43.19,3.83,1.64,2.19,3.28,0,0,0,0,0.55,4.37,0,13.67,0,0,1.09
