stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,2.14,2.14,1.07,2.14,154.05,5.35,1.07,2.14,1.07,1.07,0,3.21,1.07,1.07
21Day,1.34,2.68,0,0,0,0,0,1.34,16.06,6.69,0,1.34,37.48,1.34,0,4.02,1.34,1.34,0,4.02,0,0
3Month,0,0.64,0.32,0,0.32,0,0.32,0.96,0.64,0.32,0.96,0.96,0,0,1.28,0.64,0,0,0,0,0,0
22Month,0,0,0,0.55,1.09,0.55,6.56,12.57,0.55,1.09,0,0.55,0,0,1.64,2.19,0,0.55,0.55,3.28,0,0
