stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,4.09,0,8.17,8.17,0,0,0,69.47,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,1.07,0,0,1.07,1.07,0,0,0,0,0,0,0,0,1.07,2.14,6.42,1.07,0,58.84,7.49,1.07,0,5.35,0,0,3.21,0,0,0,0,0
21Day,2.68,2.68,4.02,8.03,1.34,1.34,0,17.4,0,1.34,20.08,0,1.34,4.02,33.46,10.71,1.34,0,62.91,13.39,1.34,0,10.71,4.02,2.68,0,1.34,4.02,1.34,0,8.03
3Month,0,0,0,1.92,0,0,0.32,4.48,3.84,0.96,0,0.32,0,0,1.92,0.32,0,0.32,0.64,0,0.64,0,0,0,3.2,0,0,0,0,0.64,2.24
22Month,0,0.55,0,0,0,0,0,3.83,5.47,2.19,0.55,1.09,0,0,0,0,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0
