stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,0,5.35,1.07,0,1.07,0,0,0,1.07,0,0,0,0
21Day,0,0,0,4.02,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,0,0,0,0,6.69,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0.64,4.48,0.32,87.99,1.6,0,0,0.96,0,17.6,10.24,0.32,29.76,13.44,0.64,43.19,5.44,31.67,17.6,22.08,8.32,0,5.12,6.08,2.56,2.24,1.28,0.64,2.88,7.68,1.6,0,0.64,7.04,4.8,7.36
22Month,0,14.76,5.47,28.97,0,0,1.09,0.55,0.55,6.01,10.39,10.39,102.77,9.84,3.83,60.13,2.73,8.75,26.24,24.05,0.55,2.73,5.47,0.55,0.55,3.28,1.64,1.64,1.09,2.19,1.09,0,0,2.19,0,2.73
