stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,12.05,0,0,0,2.68,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.96,1.6,42.55,0.32,1.6,8,12.8,0,134.7,6.08,0,13.44,1.28,5.12,10.24,4.48,0.96,0,7.04,1.92,0.32,0.64,0.96,0.32,0.64,0.32,2.24,0,0.32,1.6,8.64
22Month,0,2.73,3.83,12.03,0,0,1.09,24.6,1.64,88.01,1.09,1.64,6.56,0,1.64,9.29,8.2,0,1.09,5.47,0,1.64,0.55,0,0,0.55,0,0.55,0.55,0,1.09,1.09
