stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,5.35,1.07,0,0,0,0,0,0,7.49,0,0,0,0,8.56,7.49,0,0,2.14,0,0,0,0,0,0,0
21Day,0,13.39,0,1.34,0,0,0,1.34,0,9.37,0,0,0,0,9.37,0,0,0,1.34,0,0,1.34,1.34,1.34,1.34,0
3Month,0,16,0.32,0,0.64,0,0.32,5.76,1.28,3.2,0.96,0.32,0.96,0.64,0,0,0.96,0,0.32,0.32,1.92,0,0,0,0.32,2.56
22Month,0.55,2.19,0,0,0.55,1.09,7.11,3.83,0,0.55,0,1.09,0,0,0.55,0,0,0.55,0,0.55,0.55,0,0,0,0,0
