stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,40.86,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,9.63,5.35,0,0,0,0,0
21Day,2.68,0,2.68,1.34,2.68,1.34,1.34,0,0,0,5.35,0,0,0,9.37,0,1.34,16.06,9.37,2.68,0,0,0,6.69
3Month,0,0,0.96,0,0,0,1.28,0,1.6,0,0.64,0.64,0.64,0.32,0.32,0,0.64,0,0,0,2.56,0.32,0.32,2.56
22Month,1.09,0.55,0.55,0,0,0,1.64,4.37,6.01,1.64,0.55,2.19,0,1.64,2.73,0.55,0,0,0,0,0,0,0,1.64
