stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,16.35,0,0,0,0,0,0,8.17,8.17,28.6,0,0,159.37,0,0,0,0,0,0
72hpf,0,0,1.07,1.07,0,0,0,0,0,1.07,0,0,0,2.14,12.84,1.07,0,2.14,0,0,0
21Day,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0,0.32,0,0,0.32,0,0,0,0,0.32,0.32,0.32,0,0,0,0.32,0,0,0.96,0.32
22Month,0,0,0,0,0,0,3.83,0,0.55,0,0,0,0,0,0,0,0.55,0,0.55,0,0
