stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,10.7,2.14,2.14,0,0,0,0,0,1.07,0,9.63,10.7,3.21,3.21,0,1.07,0,0
21Day,2.68,1.34,2.68,1.34,0,0,0,0,0,1.34,6.69,2.68,5.35,1.34,0,2.68,1.34,0
3Month,0,0,0.32,0,0,0,0.64,0.64,0,0,0,0,0,0,0.32,0,0,0.64
22Month,0,0.55,0.55,0,0.55,1.09,5.47,0,0,1.09,0,0,0,0,0,0,0,0
