stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,1.07,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0
3Month,0.32,1.6,1.6,0,14.4,0.32,0.32,0.96,0.32,0.32,0.32,0.32,0,0,0,0.32,0.32,0.32,0,0
22Month,0,3.28,1.09,0,13.67,0,0,0,0,0,0.55,2.19,1.09,0,0,0,0,0,0.55,0.55
