stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,2.14,2.14,6.42,0,0,0,0,13.91,2.14,4.28,1.07,0,277.08,375.5,0,5.35,0,0,7.49,2.14,0,0,0
21Day,1.34,0,0,4.02,2.68,1.34,0,0,1.34,2.68,9.37,0,1.34,0,1.34,72.28,56.22,0,0,2.68,0,1.34,8.03,2.68,0,1.34
3Month,0,0.32,0.32,0.96,0,0,0.96,1.28,0,0.32,0.64,0.64,0,0,0,1.92,0.64,0,0,0,0.32,0,0,0,0.64,0
22Month,0,0,0,0,0,0,2.19,0,0,0,1.09,0.55,0,0,0,0,0,0.55,0,0,0,1.64,3.83,0,0,0.55
