stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,6.69,0,1.34,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.96,0.64,3.2,0,0,23.36,0.64,0,36.47,0,0.32,0.32,0,0.32,1.92,0,0.32,0.32,0,0.96,0.96,0.32
22Month,0.55,0.55,1.64,1.09,0.55,0.55,39.36,0.55,0.55,32.8,0,0,0.55,1.09,0,0,0,0,0.55,0.55,0,0,0
