stage,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Pancreatic_cell,Retinal_cell
72hpf,0,0,0,0,0,5.35,0,0
21Day,0,0,0,0,0,42.83,0,0
3Month,0.64,0.32,0,0.32,0,10.56,0.32,0
22Month,3.28,0,0.55,0,0.55,0,0,0.55
