stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,3.21,0,0,2.14,0,0,0,0,0,0,0
21Day,4.02,2.68,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0
3Month,1.6,3.2,0.96,0.64,0.32,1.28,0.32,0.96,0.96,0.32,1.6,0,2.88,0,0.32,0,0.64,0.32,2.24,0,0.64
22Month,0,1.09,0,0,0,3.28,0,0,0,0,0,0.55,0,0,0,0.55,0.55,0,0,0.55,0
