stage,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,0,8.56,3.21
21Day,0,0,0,0,0,2.68,0
22Month,0.55,2.19,1.09,0.55,0.55,0,0
