stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,0,0,0,0
3Month,0.32,0.32,0.64,51.83,0.32,1.92,0.64,0.32,0.64,0,0.32,0.32,0,0,0,0.32,0.32,0.32
22Month,0,0,0.55,68.33,0,0,0,0.55,0.55,1.64,0,0,0,1.64,0.55,0,0,0
