stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,16.35,4.09,44.95,0,0,0,12.26,0,0,0,8.17,20.43,24.52,73.56,24.52,800.94,12.26,0,0,0
72hpf,4.28,0,3.21,1.07,1.07,0,0,0,0,0,1.07,4.28,0,12.84,19.26,43.86,8.56,0,2.14,2.14
21Day,4.02,0,5.35,0,4.02,2.68,0,0,4.02,1.34,0,0,1.34,5.35,1.34,18.74,1.34,1.34,0,1.34
3Month,0.32,0,0.32,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0
